Chip,Year,Transistors
"SPARC64 VIIIfx (64-bit, SIMD, large caches)",2009,760000000
"SPARC T3 (16-core 64-bit, SIMD, large caches)",2010,1000000000
Six-core Core i7 (Gulftown),2010,1170000000
"POWER7 32M L3 (8-core 64-bit, SIMD, large caches)",2010,1200000000
"Quad-core z196[86] (64-bit, very large caches)",2010,1400000000
"Quad-core Itanium Tukwila (64-bit, SIMD, large caches)",2010,2000000000
"Xeon Nehalem-EX (8-core 64-bit, SIMD, large caches)",2010,2300000000
"SPARC64 IXfx (64-bit, SIMD, large caches)",2011,1870000000
"Quad-core + GPU Core i7 (64-bit, SIMD, large caches)",2011,1160000000
Six-core Core i7/8-core Xeon E5,2011,2270000000
"Xeon Westmere-EX (10-core 64-bit, SIMD, large caches)",2011,2600000000
"Atom ""Medfield"" (64-bit)",2012,432000000
"SPARC64 X (64-bit, SIMD, caches)",2012,2990000000
"AMD Bulldozer (8-core 64-bit, SIMD, caches)",2012,1200000000
"Quad-core + GPU AMD Trinity (64-bit, SIMD, caches)",2012,1303000000
"Quad-core + GPU Core i7 Ivy Bridge (64-bit, SIMD, caches)",2012,1400000000
"POWER7+ (8-core 64-bit, SIMD, 80 MB L3 cache)",2012,2100000000
"Six-core zEC12 (64-bit, SIMD, large caches)",2012,2750000000
"Itanium Poulson (8-core 64-bit, SIMD, caches)",2012,3100000000
"Xeon Phi (61-core 32-bit, 512-bit SIMD, caches)",2012,5000000000
"Apple A7 (dual-core 64/32-bit ARM64, ""mobile SoC"", SIMD, caches)",2013,1000000000
"Six-core Core i7 Ivy Bridge E (64-bit, SIMD, caches)",2013,1860000000
"POWER8 (12-core 64-bit, SIMD, caches)",2013,4200000000
"Xbox One main SoC (64-bit, SIMD, caches)",2013,5000000000
"Quad-core + GPU Core i7 Haswell (64-bit, SIMD, caches)",2014,1400000000
"Apple A8 (dual-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2014,2000000000
"Core i7 Haswell-E (8-core 64-bit, SIMD, caches)",2014,2600000000
"Apple A8X (tri-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2014,3000000000
"Xeon Ivy Bridge-EX (15-core 64-bit, SIMD, caches)",2014,4310000000
"Xeon Haswell-E5 (18-core 64-bit, SIMD, caches)",2014,5560000000
"Quad-core + GPU GT2 Core i7 Skylake K (64-bit, SIMD, caches)",2015,1750000000
"Dual-core + GPU Iris Core i7 Broadwell-U (64-bit, SIMD, caches)",2015,1900000000
"Apple A9 (dual-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2015,2000000000
"Apple A9X (dual core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2015,3000000000
"IBM z13 (64-bit, caches)",2015,3990000000
IBM z13 Storage Controller,2015,7100000000
"SPARC M7 (32-core 64-bit, SIMD, caches)",2015,10000000000
"Qualcomm Snapdragon 835 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2016,3000000000
"Core i7 Broadwell-E (10-core 64-bit, SIMD, caches)",2016,3200000000
"Apple A10 Fusion (quad-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2016,3300000000
"HiSilicon Kirin 960 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2016,4000000000
"Xeon Broadwell-E5 (22-core 64-bit, SIMD, caches)",2016,7200000000
"Xeon Phi (72-core 64-bit, 512-bit SIMD, caches)",2016,8000000000
"Zip CPU (32-bit, for FPGAs)",2016,12866
"Qualcomm Snapdragon 845 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2017,5300000000
"Qualcomm Snapdragon 850 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2017,5300000000
"Apple A11 Bionic (hexa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2017,4300000000
"Zeppelin SoC Ryzen (64-bit, SIMD, caches)",2017,4800000000
"Ryzen 5 1600 Ryzen (64-bit, SIMD, caches)",2017,4800000000
"Ryzen 5 1600 X Ryzen (64-bit, SIMD, caches)",2017,4800000000
"IBM z14 (64-bit, SIMD, caches)",2017,6100000000
IBM z14 Storage Controller (64-bit),2017,9700000000
"HiSilicon Kirin 970 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2017,5500000000
"Xbox One X (Project Scorpio) main SoC (64-bit, SIMD, caches)",2017,7000000000
"Xeon Platinum 8180 (28-core 64-bit, SIMD, caches)",2017,8000000000
"POWER9 (64-bit, SIMD, caches)",2017,8000000000
"Freedom U500 Base Platform Chip (E51, 4×U54) RISC-V (64-bit, caches)",2017,250000000
"SPARC64 XII (12-core 64-bit, SIMD, caches)",2017,5450000000
"Apple A10X Fusion (hexa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2017,4300000000
"Centriq 2400 (64/32-bit, SIMD, caches)",2017,18000000000
"AMD Epyc (32-core 64-bit, SIMD, caches)",2017,19200000000
"HiSilicon Kirin 710 (octa-core ARM64 ""mobile SoC"", SIMD, caches)",2018,5500000000
"Apple A12 Bionic (hexa-core ARM64 ""mobile SoC"", SIMD, caches)",2018,6900000000
"HiSilicon Kirin 980 (octa-core ARM64 ""mobile SoC"", SIMD, caches)",2018,6900000000
"Qualcomm Snapdragon 8cx / SCX8180 (octa-core ARM64 ""mobile SoC"", SIMD, caches)",2018,8500000000
"Qualcomm Snapdragon 855 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2019,6700000000
"Qualcomm Snapdragon 865 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2020,10300000000
"Apple A12X Bionic (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2018,10000000000
"Fujitsu A64FX (64/32-bit, SIMD, caches)",2018,8786000000
Tegra Xavier SoC (64/32-bit),2018,9000000000
"AMD Ryzen 7 3700X (64-bit, SIMD, caches, I/O die)",2019,5990000000
HiSilicon Kirin 990 4G,2019,8000000000
"Apple A13 (hexa-core 64-bit ARM64 ""mobile SoC"", SIMD, caches)",2019,8500000000
"AMD Ryzen 9 3900X (64-bit, SIMD, caches, I/O die)",2019,9890000000
HiSilicon Kirin 990 5G,2019,10300000000
"AWS Graviton2 (64-bit, 64-core ARM-based, SIMD, caches)[138][139]",2019,30000000000
"AMD Epyc Rome (64-bit, SIMD, caches)",2019,39540000000
"TI Jacinto TDA4VM (ARM A72, DSP, SRAM)",2020,3500000000
"Apple A14 Bionic (hexa-core 64-bit ARM64 ""mobile SoC"", SIMD, caches)",2020,11800000000
"Apple M1 (octa-core 64-bit ARM64 SoC, SIMD, caches)",2020,16000000000
HiSilicon Kirin 9000,2020,15300000000
